key,3
221,近戰職能任務：曉月之章
222,遠程物理職能任務：曉月之章
223,遠程魔法職能任務：曉月之章
224,職能劇情任務：曉月之章
225,防護職能任務：金曦之章
226,治療職能任務：金曦之章
227,近戰職能任務：金曦之章
228,遠程物理職能任務：金曦之章
229,遠程魔法職能任務：金曦之章
230,職能劇情任務：金曦之章
231,黑渦團任務
232,雙蛇黨任務
233,恆輝隊任務
234,季節活動
235,降神節
236,東節
237,戀人節
238,戀人節&女兒節
239,女兒節
240,女兒節&彩蛋狩獵
241,彩蛋狩獵
242,金碟嘉年華
243,紅蓮節
244,新生慶典
245,守護天節
246,星芒節
247,其他季節活動
248,紀念任務
249,來訪者任務
250,
251,
252,
253,
254,
255,
256,
257,
258,
259,
260,
261,
262,
263,
264,
265,
266,
267,
268,傭兵理符任務
269,刻木匠理符任務
270,鍛鐵匠理符任務
271,鑄甲匠理符任務
272,雕金匠理符任務
273,製革匠理符任務
274,裁衣匠理符任務
275,煉金術士理符任務
276,烹調師理符任務
277,採礦工理符任務
278,園藝工理符任務
279,捕魚人理符任務
280,黑渦團理符任務
281,雙蛇黨理符任務
282,恆輝隊理符任務
283,迷宮挑戰
284,大型任務
285,討伐殲滅戰
286,迷宮挑戰
287,大型任務
288,討伐殲滅戰
289,深層迷宮
290,迷宮挑戰
291,大型任務
292,討伐殲滅戰
293,深層迷宮
294,禁地優雷卡
295,迷宮挑戰
296,大型任務
297,討伐殲滅戰
298,天佑女王
299,迷宮挑戰
300,大型任務
301,討伐殲滅戰
302,深層迷宮
303,特殊迷宮
304,迷宮挑戰
305,大型任務
306,討伐殲滅戰
307,蜃景幻界新月島
308,深層迷宮
309,公會令
310,
311,
312,
313,
314,
315,
316,
317,
318,
319,
320,
321,
322,
323,
324,
325,
326,
327,
328,
329,
330,
331,
332,
333,
334,
335,
336,
337,
338,
339,
340,
341,主線劇情任務：遺產
342,支線任務：遺產
343,職業任務：遺產
344,特職任務：遺產
345,軍隊任務：遺產
